locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b2474,Transfer RNA biogenesis,genetic information processing,,,
b2476,,,Metabolism,Nucleotide metabolism,Purine metabolism
b2477,Transporters,signaling and cellular processes,,,
b2478,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,Lysine biosynthesis; Monobactam biosynthesis
b2479,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b2491,Transcription factors,genetic information processing,,,
b2492,Transporters,signaling and cellular processes,,,
b2493,Transporters,signaling and cellular processes,,,
b2494,Peptidases and inhibitors,metabolism,,,
b2496,DNA replication proteins,genetic information processing,,,
b2497,Transporters,signaling and cellular processes,,,
b2498,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2499,,,Metabolism,Nucleotide metabolism,Purine metabolism
b2500,,,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; One carbon pool by folate
b2501,Messenger RNA biogenesis,genetic information processing,Metabolism; Genetic Information Processing,"Energy metabolism; Folding, sorting and degradation",Oxidative phosphorylation; RNA degradation
b2502,,,Metabolism,Nucleotide metabolism,Purine metabolism
b2507,Peptidases and inhibitors,metabolism,Metabolism,Nucleotide metabolism,Purine metabolism
b2508,Exosome,signaling and cellular processes,Metabolism,Nucleotide metabolism,Purine metabolism
b2509,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Mismatch repair
b2511,Ribosome biogenesis,genetic information processing,,,
b2512,Transporters,signaling and cellular processes,,,
b2514,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2515,,,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis
b2517,Ribosome biogenesis,genetic information processing,,,
b2518,Membrane trafficking,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2519,Glycosyltransferases; Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b2520,Peptidases and inhibitors,metabolism,,,
b2521,,,Metabolism; Genetic Information Processing,"Energy metabolism; Amino acid metabolism; Folding, sorting and degradation",Sulfur metabolism; Cysteine and methionine metabolism; Sulfur relay system
b2523,Peptidases and inhibitors,metabolism,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b2525,,,Metabolism,Xenobiotics biodegradation and metabolism,Benzoate degradation
b2526,Chaperones and folding catalysts,genetic information processing,,,
b2527,Chaperones and folding catalysts; Mitochondrial biogenesis,genetic information processing,,,
b2528,Transfer RNA biogenesis,genetic information processing,,,
b2530,Transfer RNA biogenesis; Mitochondrial biogenesis; Prokaryotic defense system,genetic information processing; signaling and cellular processes,Metabolism; Genetic Information Processing,"Metabolism of cofactors and vitamins; Folding, sorting and degradation",Thiamine metabolism; Sulfur relay system
b2531,Transcription factors,genetic information processing,,,
b2532,Transfer RNA biogenesis,genetic information processing,,,
b2533,,,Metabolism,Carbohydrate metabolism; Biosynthesis of other secondary metabolites,Inositol phosphate metabolism; Streptomycin biosynthesis
b2536,Transporters,signaling and cellular processes,,,
b2537,Transcription factors,genetic information processing,,,
b2538,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b2539,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b2540,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b2541,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism
b2542,,,Metabolism,Lipid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Fatty acid degradation; Phenylalanine metabolism; Benzoate degradation
b2546,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2547,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2548,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2551,,,Metabolism; Organismal Systems,Carbohydrate metabolism; Energy metabolism; Amino acid metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins; Digestive system,"Glyoxylate and dicarboxylate metabolism; Methane metabolism; Glycine, serine and threonine metabolism; Cyanoamino acid metabolism; One carbon pool by folate; Folate transport and metabolism"
b2553,,,Environmental Information Processing,Signal transduction,Two-component system
b2554,Two-component system,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Quorum sensing
b2556,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Quorum sensing
b2557,,,Metabolism,Nucleotide metabolism,Purine metabolism
b2558,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b2559,Transfer RNA biogenesis,genetic information processing,,,
b2560,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2563,,,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins,Mycolic acid biosynthesis; Pantothenate and CoA biosynthesis
b2564,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b2565,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b2566,Ribosome biogenesis; Mitochondrial biogenesis,genetic information processing,,,
b2567,Messenger RNA biogenesis; Ribosome biogenesis; Chromosome and associated proteins,genetic information processing,Genetic Information Processing,Translation,Ribosome biogenesis in eukaryotes
b2568,Peptidases and inhibitors,metabolism,Genetic Information Processing,"Folding, sorting and degradation",Protein export
b2570,Transcription machinery,genetic information processing,,,
b2571,Transcription machinery,genetic information processing,,,
b2572,Transcription machinery,genetic information processing,,,
b2573,Transcription machinery,genetic information processing,,,
b2574,,,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Alanine, aspartate and glutamate metabolism; Nicotinate and nicotinamide metabolism"
b2575,Transfer RNA biogenesis,genetic information processing,,,
b2576,Ribosome biogenesis,genetic information processing,,,
b2578,Transporters,signaling and cellular processes,,,
b2580,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Base excision repair
b2581,Ribosome biogenesis; Transfer RNA biogenesis,genetic information processing,,,
b2582,Chaperones and folding catalysts,genetic information processing,,,
b2585,,,Metabolism,Lipid metabolism; Amino acid metabolism,"Glycerophospholipid metabolism; Glycine, serine and threonine metabolism"
b2587,Transporters,signaling and cellular processes,,,
b2588,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b2589,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b2590,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2591,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b2592,Chaperones and folding catalysts,genetic information processing,,,
b2593,,,Metabolism,Nucleotide metabolism; Amino acid metabolism,Purine metabolism; Cysteine and methionine metabolism
b2594,Ribosome biogenesis,genetic information processing,,,
b2595,Transporters,signaling and cellular processes,,,
b2597,Ribosome biogenesis,genetic information processing,,,
b2599,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
b2600,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis"
b2601,,,Metabolism; Cellular Processes,Amino acid metabolism; Cellular community - prokaryotes,"Phenylalanine, tyrosine and tryptophan biosynthesis; Quorum sensing"
b2606,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b2607,Transfer RNA biogenesis,genetic information processing,,,
b2608,Ribosome biogenesis,genetic information processing,,,
b2609,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b2610,Secretion system,signaling and cellular processes,Genetic Information Processing; Environmental Information Processing; Cellular Processes,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes",Protein export; Bacterial secretion system; Quorum sensing
b2614,Chaperones and folding catalysts; Mitochondrial biogenesis,genetic information processing,,,
b2615,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b2616,DNA repair and recombination proteins,genetic information processing,,,
b2617,Transporters,signaling and cellular processes,,,
b2621,Non-coding RNAs,RNA family,,,
b2624,Transcription factors,genetic information processing,,,
b2645,Prokaryotic defense system,signaling and cellular processes,,,
b2646,Prokaryotic defense system,signaling and cellular processes,,,
b2652,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2659,,,Metabolism,Amino acid metabolism,Lysine degradation
b2660,,,Metabolism,Amino acid metabolism,Lysine degradation
b2661,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; Lysine degradation; Tyrosine metabolism; Nicotinate and nicotinamide metabolism"
b2662,Amino acid related enzymes,metabolism,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of other amino acids,"Propanoate metabolism; Butanoate metabolism; Alanine, aspartate and glutamate metabolism; Valine, leucine and isoleucine degradation; Lysine degradation; beta-Alanine metabolism"
b2663,Transporters,signaling and cellular processes,,,
b2664,Transcription factors,genetic information processing,,,
b2669,Chromosome and associated proteins,genetic information processing,,,
b2670,Transporters,signaling and cellular processes,,,
b2675,DNA repair and recombination proteins,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2676,DNA repair and recombination proteins,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2677,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2678,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2679,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2682,Transporters,signaling and cellular processes,,,
b2683,Transporters,signaling and cellular processes,,,
b2684,Transcription factors,genetic information processing,,,
b2685,Transporters,signaling and cellular processes,,,
b2686,Transporters,signaling and cellular processes,,,
b2687,,,Metabolism; Cellular Processes,Amino acid metabolism; Cellular community - prokaryotes,Cysteine and methionine metabolism; Quorum sensing; Biofilm formation - Escherichia coli
